a,1=工
aa,1=式
aad,1=匿
aadn,1=慝
aah,1=芽
aak,1=戒
aan,1=苣
aat,1=荛
aau,1=藏
ab,1=节
abe,1=荫
abf,1=茸
abh,1=邛
abi,1=蒸
abib,1=菡
abiu,1=荪
abm,1=茁
abn,1=芤
abr,1=艿
abry,1=菰
abu,1=萨
aby,1=芨
ac,1=芭
aca,1=茎
ack,1=苔
acn,1=茅
acnm,1=蓣
ad,1=苦
ada,1=莽
adaw,1=蕻
adb,1=苊
adc,1=茇
ade,1=戎
adef,1=葫
ader,1=苈
adff,1=蓐
adfi,1=萘
adg,1=葳
adh,1=荐
adhd,1=葜
adhf,1=茬
adhg,1=苤
adk,1=若
adkn,1=惹
adm,1=项
admu,1=蒇
adu,1=茂
aduw,1=蕨
adw,1=蓁
adwn,1=葚
adwu,1=萁
adx,1=茏
ae,1=功
aeb,1=莩
aebc,1=菔
aee,1=荔
aeej,1=蒯
aeg,1=苴
aek,1=茄
aer,1=藐
aes,1=菜
aety,1=散
aeu,1=藤
aev,1=荽
aew,1=苏
aewu,1=萸
af,1=革
afa,1=鞯
afae,1=鞴
afaf,1=鞲
afc,1=靶
afcs,1=鞣
afcu,1=芸
afcu,2=芰
afd,1=鞑
afdj,1=薷
afe,1=勒
aff,1=苷
aff,2=芏
afff,1=鞋
afff,2=葑
afi,1=蒜
afie,1=鞘
afjg,1=靼
afk,1=薹
afl,1=蕾
afm,1=贰
afmd,1=鞅
afn,1=苇
afp,1=鞍
afpb,1=荸
afq,1=芜
afqb,1=芫
afqo,1=鞠
afqq,1=鞔
afqw,1=莰
afqy,1=鞫
afr,1=靳
afs,1=藉
afsy,1=藕
aft,1=著
aftj,1=蓍
aftj,2=鞒
afu,1=蔷
afw,1=鞭
afwt,1=菱
afwx,1=靴
afwy,1=藿
afy,1=甙
ag,1=七
aga,1=荆
agd,1=匡
age,1=菁
ageg,1=蕤
agf,1=芋
agh,1=蔫
aghg,1=廿
aghh,1=艹
agj,1=蕙
agm,1=芾
agmm,1=颟
agn,1=匚
agnn,1=巧
agny,1=戈
agq,1=葬
agqg,1=薤
ags,1=茉
agt,1=廾
agu,1=芙
agud,1=荚
aguf,1=苹
agus,1=莱
agv,1=萋
agx,1=荑
ah,1=牙
ahd,1=菲
ahdd,1=匪
ahf,1=芷
ahf,2=苜
ahg,1=蘧
ahi,1=菽
ahk,1=颐
ahkf,1=苫
ahkm,1=赜
ahko,1=熙
ahn,1=臣
ahnh,1=卧
ahtb,1=邪
ahtg,1=鸦
ahtp,1=迓
ahty,1=雅
ahx,1=茈
ai,1=东
aia,1=茳
aias,1=蕖
aib,1=范
aibu,1=菠
aie,1=菹
aig,1=萍
aiit,1=莎
aik,1=藻
ain,1=荡
aiq,1=鸫
air,1=蒎
ais,1=蒲
aisf,1=薄
aisk,1=菏
ait,1=蔽
aitk,1=落
aitl,1=藩
aiu,1=汞
aiy,1=茫
aiyv,1=蒗
aj,1=划
ajb,1=蕞
ajd,1=莫
ajde,1=募
ajdf,1=墓
ajdg,1=蓦
ajdh,1=幕
ajdj,1=暮
ajdn,1=慕
ajdr,1=摹
aje,1=萌
ajf,1=昔
ajfu,1=莳
ajj,1=草
ajjf,1=菖
ajl,1=蔓
ajq,1=葛
ajqg,1=鹊
ajt,1=蓝
aju,1=茧
ajv,1=郾
ak,1=或
akb,1=葺
akby,1=蕺
akd,1=叵
akg,1=勤
akgb,1=鄞
akgf,1=堇
akgn,1=惑
akgq,1=觐
akh,1=匮
akhm,1=蒉
akk,1=颧
akkf,1=莒
akkg,1=鹳
akkn,1=萼
akm,1=莴
aku,1=燕
al,1=苗
ala,1=蔑
ald,1=茵
aldn,1=蒽
alfj,1=薯
alk,1=匣
alkf,1=茴
aln,1=葸
alp,1=莲
alph,1=瞢
alpx,1=薨
alpy,1=甍
alq,1=萝
alqg,1=鹋
alt,1=菌
alv,1=匦
am,1=贡
amd,1=英
amf,1=苒
amfp,1=遘
amfq,1=觏
amg,1=茼
amh,1=匝
amhk,1=萜
amk,1=苘
amq,1=苋
amw,1=黄
amwu,1=芮
an,1=艺
ana,1=苠
anb,1=芑
and,1=巨
anf,1=蔚
anh,1=蔬
anhc,1=葭
ank,1=薜
anm,1=贳
ann,1=蕊
anu,1=芯
anud,1=荬
anv,1=世
anw,1=蓼
any,1=荩
anyi,1=忒
anyw,1=苡
ao,1=蘑
aoa,1=蔗
aosd,1=蘼
aov,1=薮
aovf,1=蒌
ap,1=芝
apd,1=菪
ape,1=劳
apf,1=蒙
apfc,1=蔻
apff,1=茔
apfq,1=莞
apg,1=莹
apgf,1=苎
apgg,1=萱
api,1=荥
apj,1=萤
apk,1=营
apl,1=荤
apn,1=菅
apnf,1=茕
apo,1=荧
apq,1=莺
apqb,1=菀
apqf,1=蓥
aps,1=荣
apt,1=荦
apw,1=蓉
apwj,1=蓿
apx,1=萦
aq,1=匹
aqa,1=芪
aqb,1=苑
aqe,1=萏
aqg,1=蓟
aqgb,1=茚
aqgf,1=茑
aqgu,1=藓
aqj,1=荀
aqk,1=警
aqkf,1=茗
aqkf,2=苟
aqkr,1=擎
aqks,1=檠
aqkt,1=敬
aqky,1=菟
aqn,1=苞
aqo,1=菊
aqr,1=葱
aqrr,1=芴
aqs,1=葡
aqt,1=萄
aqtb,1=茆
aqtd,1=获
aqto,1=荻
aqty,1=莸
aqw,1=芡
aqy,1=芍
ar,1=区
arc,1=葩
ard,1=菝
arg,1=瓯
arj,1=芹
ark,1=匠
arq,1=欧
arqg,1=鸥
arqq,1=蔸
art,1=萆
aru,1=艾
arw,1=殴
as,1=莆
asf,1=茜
asg,1=苯
asgo,1=蘸
ash,1=葙
asj,1=蕈
ask,1=苛
askw,1=蔌
asr,1=菥
asw,1=菘
at,1=攻
ata,1=苌
atb,1=莠
atd,1=医
atdj,1=荞
atdn,1=翳
atdp,1=蓬
atf,1=芊
atfp,1=莛
atfu,1=茱
atg,1=董
atgn,1=翘
atgo,1=薰
atgq,1=尧
atgs,1=荇
ath,1=蓰
atj,1=莉
atl,1=蓖
atm,1=薇
atn,1=薛
atnb,1=孽
atns,1=蘖
ato,1=蕃
atq,1=藜
atqs,1=蘅
atr,1=莪
atv,1=萎
atx,1=莓
atxi,1=蘩
au,1=蒋
aua,1=臧
aub,1=蒴
auj,1=莘
aujn,1=薏
aujr,1=蕲
auk,1=菩
auq,1=茨
aur,1=茭
aus,1=薪
aut,1=蒺
auv,1=蒹
auw,1=蔺
av,1=切
avb,1=艽
avd,1=菇
avdf,1=薅
avf,1=荨
avh,1=萧
avk,1=茹
